neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
0,0,((((hyp:tag:nn OR pre:tag:.) OR pre:tag:cd) AND (NOT hyp:tok:about)) OR pre:tok:side),((((hyp OR pre) OR pre) AND (NOT hyp)) OR pre),((((hyp:tag OR pre:tag) OR pre:tag) AND (NOT hyp:tok)) OR pre:tok),0.0407544440426183,6,-0.026803894,-0.017842982,0.02657936
6,0,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) AND (NOT hyp:tok:outside)) AND (NOT hyp:tag:ex)) OR hyp:tok:going),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT hyp)) OR hyp),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) AND (NOT hyp:tag)) OR hyp:tok),0.04854368932038835,8,-0.06330322,0.022027269,0.009290368
8,0,((((hyp:tag:in OR hyp:tok:to) OR hyp:tag:nnp) AND (NOT hyp:tag:ex)) OR hyp:tag:prp$),((((hyp OR hyp) OR hyp) AND (NOT hyp)) OR hyp),((((hyp:tag OR hyp:tok) OR hyp:tag) AND (NOT hyp:tag)) OR hyp:tag),0.03420762244291656,6,-0.015419302,0.023419263,0.00020886032
12,0,(hyp:tok:for AND pre:tok:carrying),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.01652821,-0.014502258,-0.03231055
15,0,((((NOT oth:overlap:overlap50) AND (hyp:tag:vbg OR hyp:tok:on)) OR hyp:tok:sits) OR hyp:tok:sitting),((((NOT oth) AND (hyp OR hyp)) OR hyp) OR hyp),((((NOT oth:overlap) AND (hyp:tag OR hyp:tok)) OR hyp:tok) OR hyp:tok),0.02585869139349615,6,-0.083393574,-0.05854521,0.086006
16,0,((((NOT hyp:tok:sleeping) AND (pre:tag:nn OR pre:tag:nns)) AND (NOT hyp:tok:red)) AND (NOT hyp:tok:blue)),((((NOT hyp) AND (pre OR pre)) AND (NOT hyp)) AND (NOT hyp)),((((NOT hyp:tok) AND (pre:tag OR pre:tag)) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.0581095288158272,8,0.021715952,0.010245283,-0.042337667
17,0,((((NOT pre:tag:cc) AND (hyp:tok:woman AND pre:tok:man)) OR hyp:tok:low) OR hyp:tok:squatting),((((NOT pre) AND (hyp AND pre)) OR hyp) OR hyp),((((NOT pre:tag) AND (hyp:tok AND pre:tok)) OR hyp:tok) OR hyp:tok),0.04743083003952569,6,0.025361765,-0.016476376,0.056964096
19,0,((((NOT pre:tok:man) AND (hyp:tok:man OR hyp:tok:men)) AND (NOT pre:tok:men)) OR hyp:tok:male),((((NOT pre) AND (hyp OR hyp)) AND (NOT pre)) OR hyp),((((NOT pre:tok) AND (hyp:tok OR hyp:tok)) AND (NOT pre:tok)) OR hyp:tok),0.04304381245196003,7,-0.1768775,0.121300235,0.036597908
21,0,(hyp:tok:watching AND pre:tok:playground),(hyp AND pre),(hyp:tok AND pre:tok),0.2,2,-0.1398688,-0.013232225,-0.01125585
22,0,((((NOT hyp:tok:girl) AND (hyp:tok:men OR pre:tok:girl)) AND (NOT pre:tok:man)) AND (NOT pre:tok:two)),((((NOT hyp) AND (hyp OR pre)) AND (NOT pre)) AND (NOT pre)),((((NOT hyp:tok) AND (hyp:tok OR pre:tok)) AND (NOT pre:tok)) AND (NOT pre:tok)),0.019927536231884056,8,-0.09668588,-0.05784706,0.07747554
28,0,((((hyp:tok:outside OR pre:tok:girls) OR hyp:tok:human) OR hyp:tok:ball) AND (NOT hyp:tok:is)),((((hyp OR pre) OR hyp) OR hyp) AND (NOT hyp)),((((hyp:tok OR pre:tok) OR hyp:tok) OR hyp:tok) AND (NOT hyp:tok)),0.034764826175869123,6,0.05356792,0.011551145,-0.110836655
31,0,(hyp:tok:sing AND pre:tok:on),(hyp AND pre),(hyp:tok AND pre:tok),0.3333333333333333,2,-0.16941042,0.03331916,0.019989252
35,0,(hyp:tok:couch AND pre:tok:little),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.062931135,-0.008127816,0.048144564
37,0,(((((NOT hyp:tag:in) AND hyp:tok:standing) OR pre:tok:tricks) OR pre:tok:officer) OR hyp:tok:watched),(((((NOT hyp) AND hyp) OR pre) OR pre) OR hyp),(((((NOT hyp:tag) AND hyp:tok) OR pre:tok) OR pre:tok) OR hyp:tok),0.04316546762589928,6,-0.029064782,-0.0059582936,-0.057603292
38,0,(hyp:tok:themselves AND pre:tok:dogs),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.02389088,0.052460905,-0.03918897
39,0,((((hyp:tok:nobody OR pre:tok:cardboard) AND pre:tag:vbg) AND (NOT pre:tok:at)) AND (NOT pre:tok:colorful)),((((hyp OR pre) AND pre) AND (NOT pre)) AND (NOT pre)),((((hyp:tok OR pre:tok) AND pre:tag) AND (NOT pre:tok)) AND (NOT pre:tok)),0.05714285714285714,7,-0.116729215,-0.05308179,0.046814848
40,0,((NOT pre:tag:in) AND (hyp:tok:clock OR hyp:tok:hiding)),((NOT pre) AND (hyp OR hyp)),((NOT pre:tag) AND (hyp:tok OR hyp:tok)),0.09523809523809523,4,0.01961592,0.07154612,-0.13169406
41,0,((((hyp:tok:catch OR hyp:tok:cute) AND oth:overlap:overlap50) OR hyp:tok:spinning) OR pre:tok:dead),((((hyp OR hyp) AND oth) OR hyp) OR pre),((((hyp:tok OR hyp:tok) AND oth:overlap) OR hyp:tok) OR pre:tok),0.0625,5,-0.043264575,0.06597239,-0.027513467
42,0,pre:tok:in,pre,pre:tok,0.0,1,-0.0020226776,-0.065245084,0.0029773572
45,0,((((NOT oth:overlap:overlap50) AND (hyp:tok:swimming OR pre:tok:wearing)) OR hyp:tok:restaurant) OR hyp:tok:football),((((NOT oth) AND (hyp OR pre)) OR hyp) OR hyp),((((NOT oth:overlap) AND (hyp:tok OR pre:tok)) OR hyp:tok) OR hyp:tok),0.024154589371980676,6,-0.14389612,-0.014048776,0.017890418
50,0,(hyp:tok:control AND pre:tok:person),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.09473563,0.024855418,-0.04968543
52,0,((((hyp:tok:white OR pre:tok:eyes) OR pre:tok:weather) OR hyp:tok:enjoy) OR hyp:tok:cat),((((hyp OR pre) OR pre) OR hyp) OR hyp),((((hyp:tok OR pre:tok) OR pre:tok) OR hyp:tok) OR hyp:tok),0.03547671840354767,5,-0.031588376,-0.06022113,0.10149266
59,0,((((hyp:tok:jersey OR hyp:tok:steering) OR hyp:tok:pipes) OR pre:tok:sleep) OR hyp:tok:edge),((((hyp OR hyp) OR hyp) OR pre) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.07042253521126761,5,-0.035187453,-0.115547,0.11677183
61,0,((((hyp:tok:middle AND hyp:tok:swimming) OR hyp:tok:rowboat) OR hyp:tok:roller) OR hyp:tok:buildings),((((hyp AND hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok AND hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.07042253521126761,5,0.032971706,-0.027068065,-0.16175447
63,0,((((NOT pre:tok:is) AND (hyp:tok:shaving OR hyp:tok:walmart)) AND (NOT pre:tok:water)) AND (NOT pre:tag:vbn)),((((NOT pre) AND (hyp OR hyp)) AND (NOT pre)) AND (NOT pre)),((((NOT pre:tok) AND (hyp:tok OR hyp:tok)) AND (NOT pre:tok)) AND (NOT pre:tag)),0.25,8,0.04573205,-0.003268018,-0.06788963
65,0,((((hyp:tok:bicycle OR hyp:tok:bike) OR hyp:tok:riding) OR hyp:tok:blonde) OR pre:tok:stuffed),((((hyp OR hyp) OR hyp) OR hyp) OR pre),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR pre:tok),0.03696498054474708,5,-0.12863564,-0.067493185,0.110098556
67,0,(hyp:tok:tired AND pre:tok:on),(hyp AND pre),(hyp:tok AND pre:tok),0.15789473684210525,2,-0.12804317,0.06296108,0.00078801997
70,0,((((NOT pre:tok:sitting) AND (hyp:tag:dt OR hyp:tag:nn)) AND (NOT hyp:tok:outside)) AND (NOT pre:tok:sits)),((((NOT pre) AND (hyp OR hyp)) AND (NOT hyp)) AND (NOT pre)),((((NOT pre:tok) AND (hyp:tag OR hyp:tag)) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.03021995139884105,8,-0.09529671,-0.019174349,0.051407162
71,0,((((NOT hyp:tok:trying) AND (pre:tag:nn OR pre:tag:nns)) AND (NOT hyp:tok:getting)) OR pre:tok:other),((((NOT hyp) AND (pre OR pre)) AND (NOT hyp)) OR pre),((((NOT hyp:tok) AND (pre:tag OR pre:tag)) AND (NOT hyp:tok)) OR pre:tok),0.048060708263069137,7,0.0054669827,-0.04855686,0.022421855
72,0,pre:tok:in,pre,pre:tok,0.0,1,-0.14490566,0.08328431,-0.022965817
76,0,(((NOT hyp:tag:nns) AND (hyp:tok:swimming AND pre:tok:swimming)) AND pre:tok:in),(((NOT hyp) AND (hyp AND pre)) AND pre),(((NOT hyp:tag) AND (hyp:tok AND pre:tok)) AND pre:tok),0.11764705882352941,5,-0.04563948,0.03152975,0.026896266
77,0,((((NOT hyp:tok:man) AND (hyp:tok:outside AND pre:tok:man)) OR hyp:tok:outfit) OR pre:tok:dead),((((NOT hyp) AND (hyp AND pre)) OR hyp) OR pre),((((NOT hyp:tok) AND (hyp:tok AND pre:tok)) OR hyp:tok) OR pre:tok),0.044444444444444446,6,-0.032825645,0.0010794705,-0.056606244
83,0,((((hyp:tok:bikes OR pre:tok:shelter) AND pre:tok:on) OR pre:tok:owner) OR pre:tok:atv),((((hyp OR pre) AND pre) OR pre) OR pre),((((hyp:tok OR pre:tok) AND pre:tok) OR pre:tok) OR pre:tok),0.054945054945054944,5,0.015798438,-0.027097842,-0.026725514
85,0,((hyp:tok:restaurant AND pre:tok:man) AND hyp:tok:is),((hyp AND pre) AND hyp),((hyp:tok AND pre:tok) AND hyp:tok),0.09090909090909091,3,0.023714222,-0.008861668,-0.07464618
86,0,((NOT hyp:tok:in) AND hyp:tok:east),((NOT hyp) AND hyp),((NOT hyp:tok) AND hyp:tok),0.3333333333333333,3,0.048801105,-0.011612206,-0.046751846
87,0,((((pre:tok:boats OR pre:tok:cook) OR hyp:tok:pier) OR pre:tok:leaping) AND (NOT pre:tok:with)),((((pre OR pre) OR hyp) OR pre) AND (NOT pre)),((((pre:tok OR pre:tok) OR hyp:tok) OR pre:tok) AND (NOT pre:tok)),0.06944444444444445,6,-0.08595089,0.06993344,-0.03883311
