neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
0,0,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) OR pre:tag:cd) OR hyp:tok:in) AND (NOT oth:overlap:overlap75)),(((((NOT oth) AND pre) OR pre) OR hyp) AND (NOT oth)),(((((NOT oth:overlap) AND pre:tag) OR pre:tag) OR hyp:tok) AND (NOT oth:overlap)),0.056315297715110846,7,-0.026803894,-0.017842982,0.02657936
0,1,(((((NOT oth:overlap:overlap50) AND pre:tag:.) AND (NOT hyp:tok:to)) OR pre:tok:running) OR pre:tok:wooded),(((((NOT oth) AND pre) AND (NOT hyp)) OR pre) OR pre),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) OR pre:tok) OR pre:tok),0.024127280144530566,7,-0.026803894,-0.017842982,0.02657936
0,2,(((((NOT oth:overlap:overlap50) AND pre:tag:in) OR hyp:tok:sleeping) AND (NOT hyp:tok:to)) OR pre:tok:one),(((((NOT oth) AND pre) OR hyp) AND (NOT hyp)) OR pre),(((((NOT oth:overlap) AND pre:tag) OR hyp:tok) AND (NOT hyp:tok)) OR pre:tok),0.014423643000117744,7,-0.026803894,-0.017842982,0.02657936
6,0,(((((NOT oth:overlap:overlap25) AND hyp:tag:dt) OR hyp:tok:wearing) OR hyp:tok:building) OR hyp:tok:off),(((((NOT oth) AND hyp) OR hyp) OR hyp) OR hyp),(((((NOT oth:overlap) AND hyp:tag) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.050669772859638904,6,-0.06330322,0.022027269,0.009290368
6,1,(((((NOT oth:overlap:overlap25) AND pre:tag:in) AND (NOT hyp:tok:people)) OR pre:tok:throwing) AND (NOT hyp:tok:two)),(((((NOT oth) AND pre) AND (NOT hyp)) OR pre) AND (NOT hyp)),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) OR pre:tok) AND (NOT hyp:tok)),0.023295944779982744,8,-0.06330322,0.022027269,0.009290368
6,2,(((((NOT hyp:tag:in) AND hyp:tag:jj) OR hyp:tok:has) OR hyp:tok:tall) AND (NOT oth:overlap:overlap50)),(((((NOT hyp) AND hyp) OR hyp) OR hyp) AND (NOT oth)),(((((NOT hyp:tag) AND hyp:tag) OR hyp:tok) OR hyp:tok) AND (NOT oth:overlap)),0.011889460154241645,7,-0.06330322,0.022027269,0.009290368
8,0,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:her) OR pre:tok:along) OR hyp:tok:tall),((((hyp OR hyp) OR hyp) OR pre) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.04233368907861971,5,-0.015419302,0.023419263,0.00020886032
8,1,((((hyp:tok:to OR pre:tok:in) OR hyp:tok:for) AND hyp:tag:dt) OR hyp:tok:funny),((((hyp OR pre) OR hyp) AND hyp) OR hyp),((((hyp:tok OR pre:tok) OR hyp:tok) AND hyp:tag) OR hyp:tok),0.015466597348583312,5,-0.015419302,0.023419263,0.00020886032
8,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:tall) AND (NOT pre:tag:prp)),((((hyp OR hyp) OR hyp) OR hyp) AND (NOT pre)),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) AND (NOT pre:tag)),0.014487870619946091,6,-0.015419302,0.023419263,0.00020886032
12,0,pre:tok:in,pre,pre:tok,0.0,1,-0.01652821,-0.014502258,-0.03231055
